tf,ub,lb,fast,aa,bb,cc,dd,ee,ff,gg,hh,multiplier,net_profit,drawdown,score
980,1.3000000000000005,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.497880993719077
990,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.479206561640305
960,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.4791797394919
900,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,6.464723790703816
890,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.46022041678494
840,1.6,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.455015760037774
950,1.4,0.4,80,5,2,3,5,6,10,12,15,60,0,0,6.44988825817146
980,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.4349193576426496
900,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,6.410476596119577
910,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.409705721849023
870,1.7000000000000002,0.4,80,5,2,3,5,6,10,12,15,60,0,0,6.405288774208279
840,1.7000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.391767857581652
990,1.3000000000000005,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.363963706806313
890,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.358189199923541
860,1.3000000000000005,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.346521402121016
830,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,6.341043079651201
870,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.335659804737535
860,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.335438097310225
930,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.327120084369824
930,1.2000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.31925637887873
980,1.2000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,6.318634017917336
920,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,6.288833505365191
930,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.284904138821891
910,1.2000000000000002,0.3,90,5,2,3,4,6,10,12,15,60,0,0,6.27518999840774
950,2.0,0.2,80,3,2,3,5,6,10,12,15,60,0,0,6.243430859928828
830,1.7000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.212475447745255
940,1.4,0.4,80,5,2,3,5,6,10,12,15,60,0,0,6.2103185349147
920,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,6.198467510549215
930,1.5000000000000002,0.3,90,5,2,3,5,6,10,12,15,60,0,0,6.1951239714077895
760,1.1,0.3,70,4,2,3,5,8,10,12,15,60,0,0,6.181494072464376
880,2.8000000000000003,1.2000000000000002,40,3,2,3,4,6,10,12,15,60,0,0,6.178119569769936
760,1.1,0.2,70,4,2,3,4,8,10,12,15,60,0,0,6.177401167061055
580,2.0,0.3,80,4,2,3,4,5,10,12,15,60,0,0,6.1748065618315255
980,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.169008878260091
930,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.162929336287832
970,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.155413137288285
890,2.9000000000000004,0.9,40,3,2,3,4,6,10,12,15,60,0,0,6.144312994240689
960,1.3000000000000005,0.4,80,5,2,3,5,6,10,12,15,60,0,0,6.142373219690644
910,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.133555562970325
940,1.5000000000000002,0.6,80,5,2,3,4,6,10,12,15,60,0,0,6.126900408940949
940,1.5000000000000002,0.4,80,5,2,3,5,6,10,12,15,60,0,0,6.12263946596737
970,1.3000000000000005,0.4,80,5,2,3,5,6,10,12,15,60,0,0,6.120123614957849
980,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.117654086453078
930,1.3000000000000005,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.082675773044928
830,1.7000000000000002,0.1,70,5,2,3,4,6,10,12,15,60,0,0,6.069281375801481
930,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.987686925311164
910,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.981806722003218
970,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.969889300282465
850,1.5000000000000002,0.4,80,5,2,3,5,6,10,12,15,60,0,0,5.950161488027501
820,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.939528706730703
850,1.4,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.926928446889877
990,0.8,0.1,80,5,2,3,4,8,10,12,15,60,0,0,5.915351989126252
850,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.878549706066876
580,2.8000000000000003,0.3,80,4,2,3,4,8,10,12,15,60,0,0,5.877155664639968
820,1.1,0.2,70,4,2,3,4,8,10,12,15,60,0,0,5.874648535510901
840,1.4,0.4,80,5,2,3,5,6,10,12,15,60,0,0,5.856628805437863
870,2.0,0.5,80,5,2,3,4,5,10,12,15,60,0,0,5.8562584330166585
930,1.1,0.2,80,5,2,3,4,6,10,12,15,60,0,0,5.8497237849433
810,1.8000000000000005,0.4,70,3,2,3,5,6,10,12,15,60,0,0,5.8310218270246414
990,2.2,2.6,70,5,2,3,5,8,10,12,15,60,0,0,5.823133717396117
850,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.818537119844066
860,1.4,0.4,80,5,2,3,5,6,10,12,15,60,0,0,5.816984324692093
840,1.6,0.4,70,5,2,3,4,5,10,12,15,60,0,0,5.816067801672713
580,2.8000000000000003,0.3,80,4,2,3,4,7,10,12,15,60,0,0,5.810222723147463
820,1.2000000000000002,0.2,70,4,2,3,4,8,10,12,15,60,0,0,5.809960965875319
830,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.808297766610441
900,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,5.805405548645177
580,2.8000000000000003,0.3,80,4,2,3,5,7,10,12,15,60,0,0,5.7918372953809705
970,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.788824440002317
760,1.1,0.3,70,4,2,3,5,6,10,12,15,60,0,0,5.780711197374032
980,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.778654761135723
850,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.774435986381841
760,1.3000000000000005,0.1,70,4,2,3,4,8,10,12,15,60,0,0,5.768902313065561
870,1.7000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.762242595598393
960,1.1,0.4,80,5,2,3,5,7,10,12,15,60,0,0,5.756942436156584
830,1.2000000000000002,0.2,70,4,2,3,4,8,10,12,15,60,0,0,5.748223935979008
780,2.1,0.3,90,5,2,3,4,7,10,12,15,60,0,0,5.743647869156484
